[0] losses: [ 1.497 -0.419 19.972 20.375 -3.78 ]
[5] losses: [-4.296 -3.288  0.728  0.731 -4.017]
[1840] losses: [ 5.292  2.07   0.036  0.036 -3.7  ]
[1845] losses: [ 5.281  0.009  0.035  0.037 -3.973]
[1850] losses: [ 5.443  2.029  0.034  0.034 -3.825]
[1855] losses: [ 5.683 -0.383  0.039  0.038 -4.48 ]
[1860] losses: [ 5.701 -0.942  0.034  0.035 -3.366]
[1865] losses: [ 5.452 -2.794  0.036  0.035 -4.129]
[1870] losses: [ 5.312  0.602  0.046  0.045 -4.077]
[1875] losses: [ 5.575 -2.604  0.036  0.036 -4.477]
[1880] losses: [ 5.553  2.354  0.039  0.042 -3.681]
[1885] losses: [ 5.281  2.478  0.034  0.038 -3.324]
[1890] losses: [ 4.95  -1.599  0.032  0.033 -3.186]
[1895] losses: [ 5.204  1.945  0.045  0.04  -3.849]
[1900] losses: [ 5.269 -1.092  0.04   0.041 -2.658]
[1905] losses: [ 5.217 -3.414  0.043  0.044 -3.365]
[1910] losses: [ 5.218  0.289  0.034  0.035 -3.699]
[1915] losses: [ 5.201 -2.007  0.037  0.038 -4.066]
[1920] losses: [ 4.802 -4.904  0.03   0.029 -3.569]
[1925] losses: [ 4.884  4.846  0.032  0.032 -3.174]
[1930] losses: [ 5.091  2.845  0.035  0.035 -2.821]
